article_id,author_id,full_name
31baa987a980f41568ef7744d345e974d74b4494,83,Anastasia_Antoniadou
31baa987a980f41568ef7744d345e974d74b4494,84,Anastasia_Kotanidou
31baa987a980f41568ef7744d345e974d74b4494,85,Konstantinos_Syrigos
31baa987a980f41568ef7744d345e974d74b4494,86,Konstantinos_Stamoulis
31baa987a980f41568ef7744d345e974d74b4494,87,George_Panayiotakopoulos
31baa987a980f41568ef7744d345e974d74b4494,88,Sotirios_Tsiodras
31baa987a980f41568ef7744d345e974d74b4494,89,Leonidas_Alexopoulos
31baa987a980f41568ef7744d345e974d74b4494,90,Meletios_A_Dimopoulos
b5b354b52a3e7bfb6660d2b6d102a57928432e66,91,Andrew_Ip
b5b354b52a3e7bfb6660d2b6d102a57928432e66,92,Anthony_Mato
b5b354b52a3e7bfb6660d2b6d102a57928432e66,93,Jordan_Intrator
b5b354b52a3e7bfb6660d2b6d102a57928432e66,94,Nicholas_P_Howard
b5b354b52a3e7bfb6660d2b6d102a57928432e66,95,Alessandra_Petrillo
b5b354b52a3e7bfb6660d2b6d102a57928432e66,96,Rosalba_Vicioso
b5b354b52a3e7bfb6660d2b6d102a57928432e66,97,Ba
b5b354b52a3e7bfb6660d2b6d102a57928432e66,98,Rani_Sebti
b5b354b52a3e7bfb6660d2b6d102a57928432e66,99,Cristina_Cicogna
b5b354b52a3e7bfb6660d2b6d102a57928432e66,100,Gabriella_Magarelli
b5b354b52a3e7bfb6660d2b6d102a57928432e66,101,"Acnp-Bc,"
b5b354b52a3e7bfb6660d2b6d102a57928432e66,102,Lori_A_Leslie
b5b354b52a3e7bfb6660d2b6d102a57928432e66,103,Andre_H_Goy
b5b354b52a3e7bfb6660d2b6d102a57928432e66,104,Tatyana_A_Feldman
4b1fede5d5b976e62d95b892246c35ef2bba9852,105,Stephanie_Berg
4b1fede5d5b976e62d95b892246c35ef2bba9852,106,Seo-Hyun_Kim
4b1fede5d5b976e62d95b892246c35ef2bba9852,107,Sonam_Patel
4b1fede5d5b976e62d95b892246c35ef2bba9852,108,Priya_Rajakumar
4b1fede5d5b976e62d95b892246c35ef2bba9852,109,Elizabeth_Jane_Elliott
4b1fede5d5b976e62d95b892246c35ef2bba9852,110,Candice_Schwartz
4b1fede5d5b976e62d95b892246c35ef2bba9852,111,James_Coggan
4b1fede5d5b976e62d95b892246c35ef2bba9852,112,Amy_Wozniak
4b1fede5d5b976e62d95b892246c35ef2bba9852,113,Yanyu_Zhang
4b1fede5d5b976e62d95b892246c35ef2bba9852,114,Saad_Arain
4b1fede5d5b976e62d95b892246c35ef2bba9852,115,Abhigna_Kodali
4b1fede5d5b976e62d95b892246c35ef2bba9852,116,Daulath_Singh
4b1fede5d5b976e62d95b892246c35ef2bba9852,117,Oluwatobi_Odetola
4b1fede5d5b976e62d95b892246c35ef2bba9852,118,Hina_Dalal
4b1fede5d5b976e62d95b892246c35ef2bba9852,119,Rebecca_Feltman_Frank
4b1fede5d5b976e62d95b892246c35ef2bba9852,120,Diana_Kreppel
4b1fede5d5b976e62d95b892246c35ef2bba9852,121,Ellen_Murchie
4b1fede5d5b976e62d95b892246c35ef2bba9852,122,Laura_Pax
4b1fede5d5b976e62d95b892246c35ef2bba9852,123,Ahmed_Aleem
4b1fede5d5b976e62d95b892246c35ef2bba9852,124,Ryan_Guerrettaz
4b1fede5d5b976e62d95b892246c35ef2bba9852,125,Raymond_W_Lee
4b1fede5d5b976e62d95b892246c35ef2bba9852,126,Glenda_Delgado-Ramos
4b1fede5d5b976e62d95b892246c35ef2bba9852,127,Fatema_Esmail
4b1fede5d5b976e62d95b892246c35ef2bba9852,128,Patrick_Moore
4b1fede5d5b976e62d95b892246c35ef2bba9852,129,Shuai_Qin
4b1fede5d5b976e62d95b892246c35ef2bba9852,130,Nicholas_Torgerson
4b1fede5d5b976e62d95b892246c35ef2bba9852,131,Tracie_Watson
4b1fede5d5b976e62d95b892246c35ef2bba9852,132,Kevin_Barton
4b1fede5d5b976e62d95b892246c35ef2bba9852,133,Patrick_Hagen
4b1fede5d5b976e62d95b892246c35ef2bba9852,134,Nasheed_Hossain
4b1fede5d5b976e62d95b892246c35ef2bba9852,135,Anthi_Katsouli
4b1fede5d5b976e62d95b892246c35ef2bba9852,136,Erin_M_Lowery
4b1fede5d5b976e62d95b892246c35ef2bba9852,137,Melissa_L_Larson
4b1fede5d5b976e62d95b892246c35ef2bba9852,138,Hanh_Mai
4b1fede5d5b976e62d95b892246c35ef2bba9852,139,Katie_W_Phelan
4b1fede5d5b976e62d95b892246c35ef2bba9852,140,Sucha_Nand
4b1fede5d5b976e62d95b892246c35ef2bba9852,141,Patrick_J_Stiff
4b1fede5d5b976e62d95b892246c35ef2bba9852,142,Santosh_L_Saraf
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,143,Cristina_De_Ramón
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,144,Jose_Angel_Hernandez-Rivas
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,145,Jose_Antonio_Rodríguez_García
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,146,Enrique_M_Ocio
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,147,María_Teresa_Gómez-Casares
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,148,Javier_López_Jiménez
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,149,Carlos_Solano
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,150,Joaquín_Martínez-López
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,151,Anna_Sureda
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,152,Manuel_Jurado
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,153,Raul_Córdoba
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,154,Celina_Benavente
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,155,Pascual_Marco
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,156,Jose_Antonio_Pérez-Simón
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,157,Jose_Maria_Moraleda
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,158,Angela_Figuera
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,159,Emilia_Pardal
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,160,Cristina_Pascual_Izquierdo
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,161,Ramon_Garcia-Sanz
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,162,Servicio_De
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,163,Hematología_Hospital_De
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,164,La_Princesa
